PRODUCT,SYMBOOL | ISIN,VALUTA,LAATST,+/-,+/- %,SLOT,LAAG,HOOG,LAATSTE,
KV,E2BS | DE0001345908,EUR,"% 93,335","-0,24","-0,26%","93,581","93,335","93,335",11:43:17,R
EUROP. INV.BK 96/26ZOA,,,,,,,,,,
KV,BFCPT | PTFCPTOM0019,EUR,"% 98,00","0,00","0,00%","98,00","98,00","98,00",09:00:25,R
"FCP 5,25%13APR25D",,,,,,,,,,
KV,BFCPY | PTFCPYOM0004,EUR,"% 98,50","0,00","0,00%","98,50","98,50","98,50",13:32:29,R
"FCP 6,25% 7DEC26D",,,,,,,,,,
KV,BFNI1 | PTFNI1OM0011,EUR,% —,—,—%,"75,00",—,—,—,R
FINIBANCO FRNPLDD,,,,,,,,,,
KV,F1X4 | FI4000391529,EUR,"% 99,337","-0,03","-0,03%","99,371","99,337","99,337",08:23:46,R
FINNLD 19/24A,,,,,,,,,,
KV,FVEAB | FR0013433992,EUR,% —,—,—%,"106,50",—,—,—,R
FONVER4.5%18JUL25D,,,,,,,,,,
KV,DE000A3E46B7,EUR,"% 35,00","-2,50","-6,66%","37,50","35,00","35,00",30-05-24,R
FORESTFINANC ANL 20/30D,,,,,,,,,,
KV,FR0014001NN8,EUR,"% 36,75","+0,44","+1,22%","36,306","35,51","36,75",17:10:48,R
FRANKREICH 21/72F,,,,,,,,,,
KV,F3DB | XS1711989928,EUR,"% 105,49","-15,00","-12,45%","120,494","105,49","105,49",10:12:57,R
FUGRO 17/24 CVD,,,,,,,,,,
KV,DE000A0EUBN9,EUR,% —,—,—%,—,—,—,—,R
FURSTENB2 5 5/8%PLD,,,,,,,,,,
KV,NGIAD | FR0011022474,EUR,"% 120,00","-0,52","-0,43%","120,526","120,00","120,00",11:09:44,R
GDF5.950%16MAR2111B,,,,,,,,,,
KV,ES0000095853,EUR,"% 104,61","+0,49","+0,47%","104,112","104,61","104,61",10:12:57,R
GEN. CATALUNYA 04-34C,,,,,,,,,,
KV,ES0000095879,EUR,"% 102,90","+2,19","+2,17%","100,709","102,90","102,90",14:16:43,R
GEN. CATALUNYA 05-35D,,,,,,,,,,
KV,GCPJ | XS0229567440,EUR,"% 103,50","-0,20","-0,19%","103,70","102,53","103,50",14:49:47,R
GENERAL ELECT. 05/35 MTNA,,,,,,,,,,
KV,GIEB | FR0010014845,EUR,"% 114,36","-1,22","-1,06%","115,589","114,36","114,36",10:12:57,R
GIE PSA TRES. 03/33C,,,,,,,,,,
KV,BTGNV | PTGNVGOM0004,EUR,"% 101,25","+0,25","+0,24%","101,00","100,85","101,50",16:24:37,R
"GREEN 5,2% 18NOV27D",,,,,,,,,,
KV,DE000A161MR9,EUR,"% 10,00",—,—%,—,"10,00","10,00",07-04-22,R
GREEN CITY ENER.IHS.15/33D,,,,,,,,,,
KV,BGNVA | PTGNVAOM0000,EUR,% —,—,—%,"97,19",—,—,—,R
"GREEN2,625%10NOV28D",,,,,,,,,,
KV,DE000A289YQ5,EUR,"% 101,60","+0,35","+0,34%","101,25","101,60","101,60",17:10:48,R
GREENCELLS IHS.20/25D,,,,,,,,,,
KV,XS2155486942,EUR,"% 99,95","+0,19","+0,19%","99,752","99,90","100,20",17:17:01,R
GRENKE FIN. 20/25 MTNC,,,,,,,,,,
KV,GR0128012698,EUR,"% 101,90","+1,69","+1,69%","100,202","101,90","101,90",12:11:06,R
GRIECHENLAND 12-25 3D,,,,,,,,,,
KV,GR0128013704,EUR,"% 99,73","-0,27","-0,27%","100,00","99,73","99,73",12:11:00,R
GRIECHENLAND 12-26 4D,,,,,,,,,,
KV,GR0128014710,EUR,"% 100,00","-0,05","-0,05%","100,05","100,00","100,02",17:00:15,R
GRIECHENLAND 12-27 5D,,,,,,,,,,
KV,GR0133006198,EUR,"% 98,30","+0,40","+0,40%","97,90","98,30","98,35",17:00:15,R
GRIECHENLAND 12-28 6D,,,,,,,,,,
KV,GR0133007204,EUR,"% 98,55","-0,32","-0,32%","98,87","98,55","98,60",17:00:15,R
GRIECHENLAND 12-29 7D,,,,,,,,,,
KV,GR0133008210,EUR,"% 99,15","-0,97","-0,96%","100,12","99,15","99,20",17:00:15,R
GRIECHENLAND 12-30 8D,,,,,,,,,,
KV,GR0133009226,EUR,"% 94,55","-4,45","-4,49%","99,00","94,25","98,90",17:00:15,R
GRIECHENLAND 12-31 9D,,,,,,,,,,
KV,GR0133010232,EUR,"% 96,56","+0,80","+0,83%","95,76","96,55","96,56",15:14:07,R
GRIECHENLAND 12-32 10D,,,,,,,,,,
KV,GR0138005716,EUR,"% 96,55","-0,40","-0,41%","96,95","96,55","96,60",17:00:15,R
GRIECHENLAND 12-33 11D,,,,,,,,,,
KV,GR0138006722,EUR,"% 98,87","+0,02","+0,02%","98,85","98,87","98,87",15:14:26,R
GRIECHENLAND 12-34 12D,,,,,,,,,,
KV,GR0138007738,EUR,"% 99,00","+1,85","+1,90%","97,15","96,55","99,01",17:00:15,R
GRIECHENLAND 12-35 13D,,,,,,,,,,
KV,GR0138008744,EUR,"% 97,50","0,00","0,00%","97,50","97,50","97,50",17:00:15,R
GRIECHENLAND 12-36 14D,,,,,,,,,,
KV,GR0138009759,EUR,"% 96,65","0,00","0,00%","96,65","96,65","97,00",15:14:35,R
GRIECHENLAND 12-37 15D,,,,,,,,,,
KV,GR0138010765,EUR,"% 95,65","0,00","0,00%","95,65","95,65","95,65",12:06:06,R
GRIECHENLAND 12-38 16D,,,,,,,,,,
KV,GR0138011771,EUR,"% 96,76","0,00","0,00%","96,76","96,76","97,01",16:34:13,R
GRIECHENLAND 12-39 17D,,,,,,,,,,
KV,GR0138012787,EUR,"% 98,30","+2,05","+2,13%","96,25","98,30","98,30",16:36:36,R
GRIECHENLAND 12-40 18D,,,,,,,,,,
KV,GR0138013793,EUR,"% 95,10","-0,45","-0,47%","95,55","95,10","99,00",17:00:15,R
GRIECHENLAND 12-41 19D,,,,,,,,,,
KV,GR0138014809,EUR,"% 96,56","0,00","0,00%","96,56","96,56","96,56",15:14:12,R
GRIECHENLAND 12-42 20D,,,,,,,,,,
